sample_date,secchi_depth_m
2022-05-25,1.3
2022-05-31,1.6
2022-06-01,1.6
2022-06-02,1.3
2022-06-06,1.5
2022-06-07,1.4
2022-06-08,1.6
2022-06-09,1.1
2022-06-13,1.3
2022-06-14,1.2
2022-06-15,1.1
2022-6-21,1.2
2022-6-22,1.3
2022-06-23,1
2022-06-27,1.2
2022-06-28,0.8
2022-06-29,1.1
2022-07-05,1.2
2022-07-06,1.4
2022-07-07,1.2
2022-07-11,1
2022-07-12,1.2
2022-07-13,1.3
2022-07-14,1.3
2022-07-18,1.2
2022-07-19,1.4
2022-07-20,1.2
2022-07-21,1.3
2022-07-25,1.3
2022-07-26,0.1
2022-07-28,0.7
2022-08-01,1.3
2022-08-02,1.3
2022-08-04,1.5
2022-08-08,1.3
2022-08-09,1.5
2022-08-10,1.6
2022-08-11,1.1
2022-08-15,1.4
2022-08-16,1.5
2022-08-17,1.8
2022-09-09,2
